ISBN13,Role,Name
9780141378992,By (author),Victoria Jamieson
9780141382418,By (author),Lauren Child
9780141385471,By (author),Sophy Henn
9780141385488,By (author),Sophy Henn
9780141388083,By (author),Dick King-Smith
9780141389509,By (author),Robert Louis Stevenson
9780141439648,By (author),Mark Twain
9780141439648,", Edited by",Peter Coveney
9780141439761,By (author),Lewis Carroll
9780141439761,", Illustrated by",John Tenniel
9780141439761,", Edited by",Hugh Haughton
9780141501321,By (author),Giles Andreae
9780141501321,", Illustrated by",Russell Ayto
9780142400241,By (author),Peggy Rathmann
9780142400494,By (author),Marcie Aboff
9780142400494,", Illustrated by",Paige Billin Frye
9780142401057,By (author),Joan Holub
9780142401057,", Illustrated by",Anna DiVito
9780142402498,By (author),Astrid Lindgren
9780142404676,By (author),A. A. Milne
9780142404676,", Illustrated by",Ernest H. Shepard
9780142405802,By (author),Julia Donaldson
9780142405802,", Illustrated by",Axel Scheffler
9780142408254,By (author),Chris Van Dusen
9780142410318,By (author),Roald Dahl
9780142410318,", Illustrated by",Quentin Blake
9780142410332,By (author),Roald Dahl
9780142410332,", Illustrated by",Quentin Blake
9780142410356,By (author),Roald Dahl
9780142410356,", Illustrated by",Quentin Blake
9780142410363,By (author),Roald Dahl
9780142410363,", Illustrated by",Quentin Blake
9780142410370,By (author),Roald Dahl
9780142410370,", Illustrated by",Quentin Blake
9780142410387,By (author),Roald Dahl
9780142410387,", Illustrated by",Quentin Blake
9780142411933,By (author),Kathleen V. Kudlinski
9780142411933,", Illustrated by",S.D. Schindler
9780142413814,By (author),Roald Dahl
9780142413814,", Illustrated by",Quentin Blake
9780142413838,By (author),Roald Dahl
9780142418475,By (author),John Green
9780142418475,", By (author)",David Levithan
9780142422939,By (author),Nina Lacour
9780142426425,By (author),Lynda Mullaly Hunt
9780143106340,By (author),Roald Dahl
9780143106340,", Introduction by",Aimee Bender
9780143106340,", Illustrated by",Jordan Crane
9780143106470,By (author),Anna Sewell
9780143129400,By (author),William Golding
9780143129400,", Foreword by",Lois Lowry
9780143129400,", Introduction by",Stephen King
9780143129400,", Contributions by",E. M. Forster
9780143129400,", Contributions by",Jennifer Buehler
9780143132547,By (author),Barbara Oakley
9780143132547,", By (author)",Terrence Sejnowski
9780143132547,", By (author)",Alistair McConville
9780143330981,By (author),R. K. Narayan
9780143331513,By (author),Leila Seth
9780143331681,By (author),Devdutt Pattanaik
9780143331735,By (author),Penguin India
9780143331919,By (author),Subhadra Sen Gupta
9780143331919,", Illustrated by",Tapas Guha
9780143332039,By (author),Shamini Flint
9780143332046,By (author),Shamini Flint
9780143332466,By (author),Ruskin Bond
9780143333098,By (author),WWF India
9780143333166,By (author),Sudha Murty
9780143333265,By (author),Roshen Dalal
9780143333449,By (author),Devdutt Pattanaik
9780143333623,By (author),Sudha Murty
9780143333630,By (author),Sudha Murty
9780143333647,By (author),"Murthy, Sudha"
9780143333920,By (author),Ruskin Bond
9780143334040,By (author),Ruskin Bond
9780143334255,By (author),Sudha Murty
9780143334255,", Illustrated by",Ajanta Guhatakruta
9780143334781,By (author),Ruskin Bond
9780143334989,By (author),Poile Sengupta
9780143335900,By (author),R. K. Narayan
9780143426608,By (author),Karishma Attari
9780143427841,By (author),Zuni Chopra
9780143427865,By (author),Sudha Murty
9780143440505,By (author),Sonia Mehta
9780143440512,By (author),Sonia Mehta
9780143440529,By (author),Sonia Mehta
9780143440536,By (author),Sonia Mehta
9780143440543,By (author),Sonia Mehta
9780143440550,By (author),Sonia Mehta
9780143441502,By (author),Narendra Modi
9780143441656,By (author),Radhakrishnan Pillai
9780143443285,By (author),Nandini Nayar
9780143447030,By (author),Satyajit Ray
9780143447412,By (author),Subhadra Sen Gupta
9780143447412,", Illustrated by",Tapas Guha
9780143447559,By (author),Wwf India
9780143448310,By (author),Subhadra Sen Gupta
9780143448310,", Illustrated by",Tapas Guha
9780143449478,By (author),Geeta Ramanujam
9780143449683,By (author),Kevin Missal
9780143449782,By (author),Ken Spillman
9780143450900,By (author),Anushka Ravishankar
9780143451754,By (author),Devika Rangachari
9780143453147,By (author),Venkatesh Vedam
9780143453598,By (author),Amit Majmudar
9780143453758,By (author),Ruskin Bond
9780143454274,By (author),Meera Ganapathi
9780143455370,By (author),Sonia Mehta
9780143457145,By (author),Mamta Nainy
9780143458005,By (author),Sudha Murty
9780147510488,By (author),Kimberly Brubaker Bradley
9780147510679,By (author),Abby Hanlon
9780147510686,By (author),Abby Hanlon
9780147512840,By (author),Wendy Pfeffer
9780147512840,", Illustrated by",Jesse Reisch
9780147512970,By (author),Julie Berry
9780147513120,By (author),Deborah Zemke
9780147513137,By (author),Deborah Zemke
9780147513274,By (author),Kerry Kletter
9780147513663,By (author),David Arnold
9780147514028,By (author),Johanna Spyri
9780147515025,By (author),Gayle Forman
9780147515827,By (author),Jacqueline Woodson
9780147515872,By (author),Lewis Carroll
9780147518163,By (author),Gayle Forman
9780152007713,By (author),Sue Williams
9780152019907,By (author),Audrey Wood
9780152046330,By (author),Lois Ehlert
9780152053154,By (author),Susan Meyers
9780152053154,", Illustrated by",Marla Frazee
9780152053987,By (author),Mary Lyn Ray
9780152053987,", Illustrated by",Lauren Stringer
9780152062873,By (author),",Janell Cannon"
9780152336790,By (author),Audrey Wood
9780152336790,", Illustrated by",Don Wood
9780156030083,By (author),Daniel Keyes
9780156035217,By (author),William Goldman
9780198325000,By (author),William Shakespeare
9780198386711,By (author),Ruth Miskin
9780198386711,", Illustrated by",Tim Archbold
9780198394815,By (author),Alan Haigh
9780198394815,", By (author)",Deborah Roberts
9780198394815,", By (author)",Geraldine Shaw
9780198394815,", Series edited by",Terry Hudson
9780228204923,By (author),Coloring Bandit
9780230015470,By (author),Jill Murphy
9780230015500,By (author),Julia Donaldson
9780230015500,", Illustrated by",David Roberts
9780230017948,By (author),Julia Donaldson
9780230017948,", Illustrated by",David Roberts
9780230706477,By (author),Julia Donaldson
9780230706477,", Illustrated by",Nick Sharratt
9780230706507,By (author),Julia Donaldson
9780230706507,", Illustrated by",Lydia Monks
9780230741690,By (author),Rod Campbell
9780230753129,By (author),Julia Donaldson
9780230753129,", Illustrated by",Axel Scheffler
9780230753167,By (author),Julia Donaldson
9780230753167,", Illustrated by",Axel Scheffler
9780230753204,By (author),Julia Donaldson
9780230753204,", Illustrated by",Axel Scheffler
9780230757387,By (author),Julia Donaldson
9780230757387,", Illustrated by",Axel Scheffler
9780230757493,By (author),Rod Campbell
9780241003008,By (author),Eric Carle
9780241183700,By (author),Adam Bray
9780241183700,", By (author)",Cole Horton
9780241183700,", By (author)",Michael Kogge
9780241183700,", By (author)",Kerrie Dougherty
9780241185445,By (author),DK
9780241185452,By (author),DK
9780241185469,By (author),DK
9780241185476,By (author),Dk
9780241185490,By (author),DK
9780241185988,By (author),Carol Vorderman
9780241189702,By (author),Jean Adamson
9780241196304,By (author),DK
9780241198919,By (author),Pablo Hidalgo
9780241199770,By (author),Ben and Holly's Little Kingdom
9780241201503,By (author),Peppa Pig
9780241225998,By (author),Dk
9780241227862,By (author),DK
9780241228418,By (author),DK
9780241228418,", By (author)",John Woodward
9780241237342,By (author),Ladybird
9780241237373,By (author),Ladybird
9780241237403,By (author),Ladybird
9780241237434,By (author),Ladybird
9780241237595,By (author),DK
9780241243251,By (author),Ladybird
9780241244364,By (author),Ladybird
9780241244364,", By (author)",Peppa Pig
9780241246535,By (author),In the Night Garden
9780241247952,By (author),Eric Hill
9780241249239,By (author),Peppa Pig
9780241252666,By (author),Peppa Pig
9780241253694,By (author),Peppa Pig
9780241254028,By (author),Peppa Pig
9780241254424,By (author),Ladybird
9780241254462,By (author),Ladybird
9780241254479,By (author),Ladybird
9780241254486,By (author),Jean Adamson
9780241254486,", By (author)",Ladybird
9780241255162,By (author),Carl-Johan Forssen Ehrlin
9780241255162,", Illustrated by",Irina Maununen
9780241262214,By (author),Ladybird
9780241262214,", By (author)",Peppa Pig
9780241262269,By (author),Ladybird
9780241262269,", By (author)",Peppa Pig
9780241262283,By (author),Ladybird
9780241262283,", By (author)",Peppa Pig
9780241262641,By (author),Peppa Pig
9780241264973,By (author),Peppa Pig
9780241281512,By (author),DK
9780241283677,By (author),Ladybird
9780241283714,By (author),Ladybird
9780241283714,", By (author)",Peppa Pig
9780241283721,By (author),Ladybird
9780241283721,", By (author)",Peppa Pig
9780241289273,By (author),Peppa Pig
9780241291740,By (author),BEATRIX POTTER
9780241293423,By (author),DK
9780241294048,By (author),Peppa Pig
9780241294567,By (author),Peppa Pig
9780241294635,By (author),Peppa Pig
9780241297988,By (author),Ladybird
9780241298084,By (author),Ladybird
9780241298145,By (author),Ladybird
9780241298145,", By (author)",Peppa Pig
9780241298541,By (author),Ladybird
9780241298619,By (author),Ladybird
9780241298688,By (author),Ladybird
9780241299883,By (author),DK
9780241303795,By (author),Eric Hill
9780241310106,By (author),DK
9780241312209,By (author),DK
9780241316344,By (author),DK
9780241319635,By (author),Ladybird
9780241319635,", By (author)",Peppa Pig
9780241321164,By (author),Peppa Pig
9780241327050,By (author),Eric Hill
9780241331163,By (author),Madeleine L'Engle
9780241339923,By (author),DK
9780241339923,", Contributions by",Smithsonian Institution
9780241342060,By (author),Beatrix Potter
9780241342909,By (author),Rick Riordan
9780241343371,By (author),DK
9780241346846,By (author),Vashti Harrison
9780241353783,By (author),Peppa Pig
9780241355039,By (author),Beatrix Potter
9780241355053,By (author),Beatrix Potter
9780241355435,By (author),Royal Horticultural Society (DK Rights) (DK IPL)
9780241355435,", By (author)",Jen Green
9780241355435,", By (author)",Claire McElfatrick
9780241355466,By (author),DK
9780241363249,By (author),DK
9780241366295,By (author),Amy Krouse Rosenthal
9780241366295,", Illustrated by",Brigette Barrager
