isbn,Series,name,Rating,Review,Type of Book,Age Level,Grade Level,Lexile Score,Number of Pages,Language,Size,Publisher,Publication Date,ISBN 10,ISBN 13,Author ,Author 2,Author 3,Main Image,Image 2,Image 3
9781848773929,,Pirates Next Door,4.8,"1,012",Paperback,"2 - 5 years, from customers",Not known,670L,Not known,English,9.69 x 0.2 x 11.34 inches,Templar,"January 1, 2012",1848773927,978-1848773929,Jonny Duddle,Not known,Not known,https://m.media-amazon.com/images/I/51DncrWwojL._US218_.jpg,https://m.media-amazon.com/images/I/51FD6DKhmaL._US218_.jpg,https://m.media-amazon.com/images/I/41qJnvNWRnL._US218_.jpg
9780152020132,,I Like Myself!,4.8,"3,557",Hardcover,"1 - 4 years, from customers",Preschool - 3,Not known,32 pages,English,10.46 x 9.04 x 0.38 inches,Clarion Books,"May 1, 2004",152020136,978-0152020132,Karen Beaumont,David Catrow,Not known,https://m.media-amazon.com/images/I/51AyMqVeGXL._US218_.jpg,https://m.media-amazon.com/images/I/51sApRFBC-L._US218_.jpg,https://m.media-amazon.com/images/I/41qzaza+fqL._US218_.jpg
9781797207605,,Mix It Up!: Board Book Edition (Herve Tullet),4.7,"3,500",Board book,"2 - 4 years, from customers",Preschool - Kindergarten,Not known,46 pages,English,6 x 1 x 5.95 inches,Chronicle Books,"May 25, 2021",1797207601,978-1797207605,Herve Tullet,Not known,Not known,https://m.media-amazon.com/images/I/41WiZGbDIdL._US218_.jpg,https://m.media-amazon.com/images/I/51AX7eztZTL._US218_.jpg,https://m.media-amazon.com/images/I/41RoU9GPpcL._US218_.jpg
9781338189575,,The Bad Guys in Intergalactic Gas (The Bad Guys #5) (5),4.9,"4,387",Paperback,"7 - 9 years, from customers",2 - 5,550L,144 pages,English,5.9 x 0.5 x 7.4 inches,Scholastic Paperbacks,"December 26, 2017",1338189573,978-1338189575,Aaron Blabey,Not known,Not known,https://m.media-amazon.com/images/I/51mECnE0w8L._US218_.jpg,https://m.media-amazon.com/images/I/51fwzrTblJL._US218_.jpg,https://m.media-amazon.com/images/I/41ROZVMITxL._US218_.jpg
9780545175340,,Captain Underpants and the Terrifying Return of Tippy Tinkletrousers (Captain Underpants #9) (9),4.8,"4,326",Hardcover,"6 - 9 years, from customers",Not known,850L,304 pages,English,5.75 x 0.75 x 8.5 inches,Scholastic Inc.,"August 28, 2012",9780545175340,978-0545175340,"Dav Pilkey(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/61w3Z4ih8YL._US218_.jpg,https://m.media-amazon.com/images/I/51pFqRgXB7L._US218_.jpg,https://m.media-amazon.com/images/I/41siZRwNUsL._US218_.jpg
9781465477026,,An Anthology of Intriguing Animals (DK Children's Anthologies),4.9,"2,989",Hardcover,"3 - 8 years, from customers",2 - 4,IG910L,224 pages,English,8.75 x 1.08 x 11.13 inches,DK Children,"October 2, 2018",1465477020,978-1465477026,DK,Not known,Not known,https://m.media-amazon.com/images/I/61T5Hdk98oL._US218_.jpg,https://m.media-amazon.com/images/I/51FjzzyWlRL._US218_.jpg,https://m.media-amazon.com/images/I/41TyVHK7bbL._US218_.jpg
9780008164706,,THE ICE MONSTER,4.8,"11,731",Paperback,7 - 12 years,Not known,Not known,496 pages,English,5.08 x 1.46 x 7.8 inches,HARPER COLLINS,"January 7, 2020",8164703,978-0008164706,WALLIAMS DAVID,Not known,Not known,https://m.media-amazon.com/images/I/51TXbs1gJ3L._US218_.jpg,https://m.media-amazon.com/images/I/41NvKop-cfL._US218_.jpg,https://m.media-amazon.com/images/I/41ukTq1qz1L._US218_.jpg
9781646118366,,My First Book of Planets: All About the Solar System for Kids,4.8,"14,746",Paperback,"3 - 6 years, from customers",Not known,570L,68 pages,English,8 x 0.18 x 8 inches,Rockridge Press,"June 16, 2020",1646118367,978-1646118366,Bruce Betts PhD,Not known,Not known,https://m.media-amazon.com/images/I/51LVS9-Vk0L._US218_.jpg,https://m.media-amazon.com/images/I/61QjCiBWmBL._US218_.jpg,https://m.media-amazon.com/images/I/41UOFeQMZRL._US218_.jpg
9780545935210,,Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),4.8,"18,848",Hardcover,"7 - 9 years, from customers",2 - 4,GN260L,256 pages,English,5.75 x 1 x 8.5 inches,Graphix,"August 29, 2017",545935210,978-0545935210,"Dav Pilkey(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/51G51ip9ONL._US218_.jpg,https://m.media-amazon.com/images/I/51M0Y7a+x8L._US218_.jpg,https://m.media-amazon.com/images/I/41uwKTnN59L._US218_.jpg
9780064432276,,The Important Book,4.7,"1,075",Paperback,"4 - 9 years, from customers",Preschool - 3,AD460L,24 pages,English,7.38 x 0.12 x 10 inches,HarperCollins,"May 19, 1999",64432270,978-0064432276,Margaret Wise Brown,Leonard Weisgard,Not known,https://m.media-amazon.com/images/I/51BX-RXC0FL._US218_.jpg,https://m.media-amazon.com/images/I/41QhghqSmoL._US218_.jpg,https://m.media-amazon.com/images/I/41wST+DayTL._US218_.jpg
9780670913503,,Hairy MacLary from Donaldson's Dairy,4.8,"2,369",Board book,"1 - 4 years, from customers",Not known,Not known,36 pages,English,5.43 x 1.02 x 7.05 inches,Penguin Books,"January 1, 2002",9780670913503,978-0670913503,Lynley Dodd,Not known,Not known,https://m.media-amazon.com/images/I/51RWho+LG+L._US218_.jpg,https://m.media-amazon.com/images/I/31g-X-0cjQL._US218_.jpg,https://m.media-amazon.com/images/I/41WyM+CzeFL._US218_.jpg
9780316199988,,The Adventures of Beekle: The Unimaginary Friend (Caldecott Medal Winner),4.7,"1,303",Hardcover,"2 - 7 years, from customers",Preschool - 3,AD480L,40 pages,English,8.88 x 0.5 x 11.38 inches,"Little, Brown Books for Young Readers","April 8, 2014",316199982,978-0316199988,Dan Santat,Not known,Not known,https://m.media-amazon.com/images/I/51BzWGHRhGL._US218_.jpg,https://m.media-amazon.com/images/I/618slN+srCL._US218_.jpg,https://m.media-amazon.com/images/I/41YDD3kJ07L._US218_.jpg
9781481469098,,Not Quite Narwhal (Not Quite Narwhal and Friends),4.9,"1,767",Hardcover,"3 - 5 years, from customers",Preschool - 3,AD590L,40 pages,English,9 x 0.4 x 9 inches,Simon & Schuster Books for Young Readers,"February 14, 2017",1481469096,978-1481469098,"Jessie Sima(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/51aoBcKuQZL._US218_.jpg,https://m.media-amazon.com/images/I/41OtBkoKGjL._US218_.jpg,https://m.media-amazon.com/images/I/41YiZX7k3gL._US218_.jpg
9781844281695,,The Dot,4.8,"5,159",Not known,"4 - 7 years, from customers",Not known,Not known,Not known,English,7.87 x 0.2 x 9.84 inches,Walker Childrens Paperbacks,"October 4, 2004",9781844281695,978-1844281695,Peter H. Reynolds,Not known,Not known,https://m.media-amazon.com/images/I/51-Mioa1CDS._US218_.jpg,https://m.media-amazon.com/images/I/519jKmF1zbL._US218_.jpg,https://m.media-amazon.com/images/I/41YTvQos7oL._US218_.jpg
9781492674313,,P Is for Pterodactyl: The Worst Alphabet Book Ever,4.8,"9,711",Hardcover,"3 - 10 years, from customers",Preschool - 3,AD710L,40 pages,English,11.25 x 0.35 x 8.75 inches,Sourcebooks Explore,"November 13, 2018",1492674311,978-1492674313,Raj Haldar,Chris Carpenter,Maria Beddia,https://m.media-amazon.com/images/I/51Q+29FcphL._US218_.jpg,https://m.media-amazon.com/images/I/512dJ2DrVlL._US218_.jpg,https://m.media-amazon.com/images/I/51-sinaghpL._US218_.jpg
9781595620279,,How Full Is Your Bucket? For Kids,4.9,"2,669",Hardcover,"3 - 7 years, from customers",Preschool - 4,AD560L,32 pages,English,10.5 x 0.6 x 10.5 inches,Gallup Press,"April 1, 2009",1595620273,978-1595620279,Tom Rath,Mary Reckmeyer,Maurie J. Manning,https://m.media-amazon.com/images/I/51LInrz+B3L._US218_.jpg,https://m.media-amazon.com/images/I/31ZIlhvRFoL._US218_.jpg,https://m.media-amazon.com/images/I/510enSIDP9L._US218_.jpg
9781409563945,,Look Inside Our World,4.9,"2,711",Hardcover,9 - 12 years,Not known,Not known,Not known,English,7.95 x 0.75 x 8.86 inches,USBORNE CAT ANG,"January 8, 2016",1409563944,978-1409563945,Emily Bone,Marianna Oklejak,Not known,https://m.media-amazon.com/images/I/61DcJEis8GL._US218_.jpg,https://m.media-amazon.com/images/I/519gaiOTnXL._US218_.jpg,https://m.media-amazon.com/images/I/5137HJ6WwyL._US218_.jpg
9780316475112,,Little Leaders: Bold Women in Black History (Vashti Harrison),4.9,"12,128",Hardcover,"4 - 9 years, from customers",3 - 7,1050L,96 pages,English,7.55 x 0.45 x 9.05 inches,"Little, Brown Books for Young Readers","December 5, 2017",316475114,978-0316475112,Vashti Harrison,Not known,Not known,https://m.media-amazon.com/images/I/41qS2xBeBhL._US218_.jpg,https://m.media-amazon.com/images/I/51Hiz0MciBL._US218_.jpg,https://m.media-amazon.com/images/I/515+-anvopL._US218_.jpg
9780316362382,,Hello Lighthouse (Caldecott Medal Winner),4.8,"1,579",Hardcover,"2 - 6 years, from customers",Preschool - 3,AD510L,48 pages,English,7.5 x 0.5 x 12.06 inches,"Little, Brown Books for Young Readers","April 10, 2018",316362387,978-0316362382,Sophie Blackall,Not known,Not known,https://m.media-amazon.com/images/I/513nbncdXiL._US218_.jpg,https://m.media-amazon.com/images/I/51n-Z5Di-OL._US218_.jpg,https://m.media-amazon.com/images/I/517agfyqe-L._US218_.jpg
