isbn,Series,name,Rating,Review,Type of Book,Age Level,Grade Level,Lexile Score,Number of Pages,Language,Size,Publisher,Publication Date,ISBN 10,ISBN 13,Author ,Author 2,Author 3,Main Image,,Image 3
9780374360955,A Pout-Pout Fish Adventure,The Pout-Pout Fish Goes to School (A Pout-Pout Fish Adventure),4.8,"2,019",Hardcover,"1 - 3 years, from customers",Preschool - 1,AD590L,32 pages,English,10.45 x 0.35 x 10.3 inches,"Farrar, Straus and Giroux (BYR)","June 24, 2014",374360952,9780374360955,Deborah Diesen,Dan Hanna,,https://m.media-amazon.com/images/I/61lHQ5seUwL._US218_.jpg,https://m.media-amazon.com/images/I/51LlfF7MonS._US218_.jpg,https://m.media-amazon.com/images/I/31dAFVYuLvL._US218_.jpg
9780374360962,A Pout-Pout Fish Adventure,"The Pout-Pout Fish (A Pout-Pout Fish Adventure, 1)",4.8,"25,575",Hardcover,"1 - 3 years, from customers",Preschool - 1,AD590L,32 pages,English,10.35 x 0.35 x 10.4 inches,"Farrar, Straus and Giroux","March 18, 2008",374360960,9780374360962,Deborah Diesen,Dan Hanna,,https://m.media-amazon.com/images/I/51QCFvcj9HL._US218_.jpg,https://m.media-amazon.com/images/I/512EObWf4bL._US218_.jpg,https://m.media-amazon.com/images/I/41wSBAhHC5L._US218_.jpg
9780374389307,A Pout-Pout Fish Adventure,The Pout-Pout Fish and the Worry-Worry Whale (A Pout-Pout Fish Adventure),4.6,75,Hardcover,"1 - 3 years, from customers",Preschool - 1,AD590L,32 pages,English,10.3 x 0.55 x 10.45 inches,"Farrar, Straus and Giroux (BYR)","June 7, 2022",374389306,9780374389307,Deborah Diesen,Dan Hanna,,https://m.media-amazon.com/images/I/51JkZVEryHL._US218_.jpg,https://m.media-amazon.com/images/I/51Mvae2souL._US218_.jpg,Not known._US218_.jpg
9780062796028,A Series of Unfortunate Events,A Series of Unfortunate Events #1: The Bad Beginning Netflix Tie-in,4.6,"8,813",Hardcover,"8 - 11 years, from customers",3 - 7,1010L,192 pages,English,5 x 0.78 x 7 inches,HarperCollins,"October 24, 2017",006279602X,9780062796028,Lemony Snicket,Brett Helquist,,https://m.media-amazon.com/images/I/51P4i4ACp7L._US218_.jpg,,
9780062865144,A Series of Unfortunate Events,A Series of Unfortunate Events #12: The Penultimate Peril Netflix Tie-in,4.8,"1,748",Hardcover,"9 - 12 years, from customers",3 - 7,Not known,368 pages,English,5.2 x 1.3 x 7.1 inches,HarperCollins,"December 18, 2018",62865145,9780062865144,Lemony Snicket,"Brett Helquist,",Michael Kupperman,https://m.media-amazon.com/images/I/51GEKvnvPfL._US218_.jpg,,
9780064407670,A Series of Unfortunate Events,The Reptile Room (A Series of Unfortunate Events #2),4.7,"4,198",Hardcover,"8 - 12 years, from customers",5 - 6,1040L,208 pages,English,5 x 0.83 x 7 inches,HarperCollins,"August 25, 1999",64407675,9780064407670,Lemony Snicket,"Brett Helquist,",Michael Kupperman,https://m.media-amazon.com/images/I/51Ifsgd--kL._US218_.jpg,,
9780064407687,A Series of Unfortunate Events,The Wide Window (A Series of Unfortunate Events),4.6,"2,964",Hardcover,"8 - 12 years, from customers",5 - 6,980L,224 pages,English,5 x 0.87 x 7 inches,HarperCollins,"February 2, 2000",64407683,9780064407687,Lemony Snicket,Michael Kupperman,,https://m.media-amazon.com/images/I/51+Nd2zESpL._US218_.jpg,,
9780064407694,A Series of Unfortunate Events,"The Miserable Mill (A Series of Unfortunate Events, Book 4) (A Series of Unfortunate Events, 4)",4.7,"2,445",Hardcover,"8 - 11 years, from customers",5 - 6,1000L,208 pages,English,5 x 0.83 x 7 inches,HarperCollins,"April 1, 2000",64407691,9780064407694,Lemony Snicket,"Brett Helquist,",Michael Kupperman,https://m.media-amazon.com/images/I/51+TWFf3omL._US218_.jpg,,
9780064408639,A Series of Unfortunate Events,"The Austere Academy (A Series of Unfortunate Events, Book 5)",4.7,"2,107",Hardcover,"8+ years, from customers",5 - 6,1140L,240 pages,English,5 x 0.92 x 7 inches,HarperCollins,"August 8, 2000",64408639,9780064408639,Lemony Snicket,"Brett Helquist,",Michael Kupperman,https://m.media-amazon.com/images/I/51vCufFVHjL._US218_.jpg,,
9780064408646,A Series of Unfortunate Events,"The Ersatz Elevator (A Series of Unfortunate Events, Book 6) (A Series of Unfortunate Events, 6)",4.7,"1,937",Hardcover,"9 - 11 years, from customers",5 - 6,1110L,272 pages,English,5 x 1.01 x 7 inches,HarperCollins,"February 1, 2001",64408647,9780064408646,Lemony Snicket,"Brett Helquist,",Michael Kupperman,https://m.media-amazon.com/images/I/517-OeH+jlL._US218_.jpg,,
9780064408653,A Series of Unfortunate Events,"The Vile Village (A Series of Unfortunate Events, No. 7)",4.7,"1,764",Hardcover,"8 - 11 years, from customers",5 - 6,1080L,272 pages,English,5 x 1.01 x 7 inches,HarperCollins,"April 24, 2001",64408655,9780064408653,Lemony Snicket,"Brett Helquist,",Michael Kupperman,https://m.media-amazon.com/images/I/51OA7NKO+rL._US218_.jpg,,
9780064408660,A Series of Unfortunate Events,The Hostile Hospital (A Series of Unfortunate Events #8),4.7,"1,657",Hardcover,"3+ years, from customers",5 - 6,1110L,272 pages,English,5 x 1 x 7 inches,HarperCollins,"January 1, 2001",64408663,9780064408660,Lemony Snicket,"Brett Helquist,",Michael Kupperman,https://m.media-amazon.com/images/I/51SHOl69AxL._US218_.jpg,,
9780064410120,A Series of Unfortunate Events,The Carnivorous Carnival (A Series of Unfortunate Events # 9),4.7,"1,560",Hardcover,8 - 12 years,5 - 6,1120L,286 pages,English,5 x 1.09 x 7 inches,HarperCollins,"October 1, 2002",64410129,9780064410120,Lemony Snicket,"Brett Helquist,",Michael Kupperman,https://m.media-amazon.com/images/I/51j3OZi1FxL._US218_.jpg,,
9780064410137,A Series of Unfortunate Events,"The Slippery Slope (A Series of Unfortunate Events, Book 10) (A Series of Unfortunate Events, 10)",4.7,"1,616",Hardcover,8 - 12 years,5 - 6,1150L,352 pages,English,5 x 1.23 x 7 inches,HarperCollins,"September 23, 2003",64410137,9780064410137,Lemony Snicket,"Brett Helquist,",Michael Kupperman,https://m.media-amazon.com/images/I/515GuTqVXhL._US218_.jpg,,
9780064410144,A Series of Unfortunate Events,"The Grim Grotto (A Series of Unfortunate Events, Book 11) (A Series of Unfortunate Events, 11)",4.7,"1,768",Hardcover,"9 - 12 years, from customers",5 - 6,1040L,352 pages,English,5 x 1.23 x 7 inches,HarperCollins,"September 21, 2004",64410145,9780064410144,Lemony Snicket,"Brett Helquist,",Michael Kupperman,https://m.media-amazon.com/images/I/51lNNyMywoL._US218_.jpg,,
9780064410168,A Series of Unfortunate Events,"The End (A Series of Unfortunate Events, Book 13)",4.7,"2,218",Hardcover,"9 - 12 years, from customers",5 - 6,NC1370L,368 pages,English,5 x 1.27 x 7 inches,HarperCollins,"October 1, 2006",64410161,9780064410168,Lemony Snicket,"Brett Helquist,",Michael Kupperman,https://m.media-amazon.com/images/I/51B7XvGxD3L._US218_.jpg,,
9780525423348,A Tale Dark & Grimm,A Tale Dark & Grimm,4.6,"1,427",Hardcover,"9 - 11 years, from customers",5 - 4,690L,272 pages,English,5.81 x 0.92 x 8.63 inches,Dutton Books for Young Readers,"October 28, 2010",9780525423348,9780525423348,Adam Gidwitz,Hugh D'Andrade,,https://m.media-amazon.com/images/I/51NYu8KV1LL._US218_.jpg,,
9780525425816,A Tale Dark & Grimm,In a Glass Grimmly (A Tale Dark & Grimm),4.7,717,Hardcover,"9 - 12 years, from customers",5 - 6,630L,336 pages,English,5.88 x 1.13 x 8.63 inches,Dutton Books for Young Readers,"September 27, 2012",9780525425816,9780525425816,Adam Gidwitz,Hugh D'Andrade,,https://m.media-amazon.com/images/I/51l9sAFQh+L._US218_.jpg,,
9780525426158,A Tale Dark & Grimm,The Grimm Conclusion (A Tale Dark & Grimm),4.8,679,Hardcover,"9 - 12 years, from customers",5 - 6,630L,368 pages,English,5.75 x 1.13 x 8.56 inches,Dutton Books for Young Readers,"October 8, 2013",9780525426158,9780525426158,Adam Gidwitz,Hugh D'Andrade,,https://m.media-amazon.com/images/I/51va7ZUrA0L._US218_.jpg,,
9780316056083,A Tale of Magic.,"A Tale of Sorcery... (A Tale of Magic..., 3)",4.8,"2,323",Paperback,"10 - 12 years, from customers",3 - 7,830L,512 pages,English,5.3 x 1.6 x 7.65 inches,"Little, Brown Books for Young Readers","August 2, 2022",316056081,9780316056083,Chris Colfer,,,https://m.media-amazon.com/images/I/51x6e7JL1mL._US218_.jpg,,
