For ages,No of pages,Language,Dimensions,Publisher,Publication date,ISBN10,ISBN13,Bestsellers rank,Publication City/Country,Edition Statement,Edition,Imprint,Illustrations note
Not known,16 pages,English,177 x 177 x 13mm | 267g,Penguin Random House Children's UK,05 Mar 2020,0241411823,9780241411827,"238,739","London, United Kingdom",Not known,Not available,Ladybird,Not available
0-5,16 pages,English,176 x 176 x 14mm | 278g,Penguin Random House Children's UK,07 Jan 2014,Not known,9781409304616,"77,067","London, United Kingdom",Not known,Not available,Ladybird,chiefly col. Illustrations
0-5,16 pages,English,174 x 179 x 14mm | 270g,Penguin Books Ltd,05 May 2011,Not known,9781409309062,"2,458","London, United Kingdom",Not known,Not available,Ladybird Books Ltd,chiefly col. Illustrations
0-5,16 pages,English,178 x 178 x 13mm | 264g,Penguin Random House Children's UK,10 Nov 2015,Not known,9780241210963,"48,623","London, United Kingdom",Not known,Not available,Ladybird,w. numerous col. ill.
0-5,16 pages,English,176 x 178 x 14mm | 270g,Penguin Random House Children's UK,03 Oct 2013,1409306143,9781409306146,"19,209",United Kingdom,Not known,Not available,Ladybird,chiefly col. Illustrations
0-5,16 pages,English,178 x 178 x 13mm | 271g,Penguin Random House Children's UK,02 May 2013,Not known,9780723271710,"23,059","London, United Kingdom",Not known,Not available,Ladybird,Illustrations
0-5,16 pages,English,176 x 177 x 13mm | 267g,Penguin Random House Children's UK,29 Sep 2014,Not known,9780718197193,"57,079","London, United Kingdom",Not known,Not available,Ladybird,chiefly col. Illustrations
0-5,16 pages,English,177 x 177 x 8mm | 267g,Penguin Random House Children's UK,27 Jan 2016,Not known,9780723271307,"1,797","London, United Kingdom",Not known,Not available,Ladybird,chiefly col. Illustrations
0-5,10 pages,Not known,165 x 165 x 18mm | 336g,Bonnier Books Ltd,01 Sep 2008,1848171013,9781848171015,Not available,"Sywell, United Kingdom",Not known,Not available,Igloo Books Ltd,col. Illustrations
Not known,10 pages,English,175 x 175 x 18mm | 344g,Bonnier Books Ltd,21 Jun 2018,1786705354,9781786705358,Not available,"Sywell, United Kingdom",Not known,Not available,Igloo Books Ltd,cased cover
0-5,10 pages,Not known,181 x 181 x 19mm | 345g,Bonnier Books Ltd,01 Jan 1900,1785570706,9781785570704,Not available,"Sywell, United Kingdom",Not known,Not available,Igloo Books Ltd,cased cover
0-5,10 pages,English,200 x 217 x 17mm | 411g,Egmont UK Ltd,01 Sep 2008,1405241985,9781405241984,"375,428","London, United Kingdom",Not known,Not available,Egmont Books Ltd,full colour illustrations
Not known,10 pages,Spanish,181 x 181 x 19mm | 346g,Bonnier Books Ltd,20 Sep 2021,Not known,9781785577734,"1,740,846","Sywell, United Kingdom",Not known,Not available,Igloo Books Ltd,cased cover
0-5,10 pages,Spanish,181 x 181 x 20mm | 345g,Bonnier Books Ltd,10 Sep 2018,Not known,9780857809711,"367,716","Sywell, United Kingdom",Not known,Not available,Igloo Books Ltd,cased cover
