ISBN13,Role,Name
9780316043465,Author,Todd Parr
9780810919396,Author,Graeme Base
9780099266594,Author,Seuss
9780141502526,Author,Allan Ahlberg
9780141502526,IllustratorAuthor,Janet Ahlberg
9780723296232,Author,Peppa Pig
9781409536406,Author,Fiona Watt
9781409536406,Illustrator,Rachel Wells
9781409301943,Author,Peppa Pig
9780241135907,Author,Eric Carle
9781907048418,Author,from you to me
9781907048418,IllustratorAuthor,Helen Stephens
9780671449018,Author,Sandra Boynton
9780007263905,Author,Oliver Jeffers
9780769647197,Compiled by,Brighter Child
9780688092344,Author,Pat Hutchins
9780152007713,Author,Sue Williams
9780141329055,Author,Lynley Dodd
9780141329055,IllustratorRead by,David Tennant
9780547396941,Author,Mem Fox
9780547396941,IllustratorAuthor,Judy Horacek
9780723258049,Author,Beatrix Potter
9780486412726,Author,A. G. Smith
9781405329132,Author,DK
9781409582038,Author,Anna Milbourne
9781409582038,Illustrator,Simona Dimitri
9781842297407,Author,Dan Green
9781842297407,IllustratorAuthor,Imagine That
9781847808776,Illustrated by,Jessica Courtney-Tickle
9781409523352,Author,Louie Stowell
9781409523352,Illustrator,Katie Lovell
9780399255373,Author,Drew Daywalt
9780399255373,Illustrator,Oliver Jeffers
9780857635631,Author,Nosy Crow
9780857635631,Illustrator,Marion Billet
9780142404676,Author,A. A. Milne
9780142404676,Illustrator,Ernest H. Shepard
9780141381138,Author,Lynley Dodd
9780746085172,Author,Fiona Watt
9780746085172,Illustrator,Rachel Wells
9780007182329,Author,Oliver Jeffers
9781442450707,Author,Jr. Bill Martin
9781442450707,IllustratorAuthor,John Archambault
9781442450707,Illustrator,Lois Ehlert
9780746066928,Author,Fiona Watt
9780746066928,Illustrator,Rachel Wells
9780744594867,Author,Jeannie Baker
9780689853494,Author,Michael Rosen
9780689853494,Illustrator,Helen Oxenbury
9781409309062,Author,Collectif
9780694013012,Author,Eric Carle
9780762428212,Author,Running Press
9780340875582,Author,Hilary Robinson
9780340875582,Illustrator,Nick Sharratt
9780375813658,Author,Mary Pope Osborne
9781409551287,Author,Minna Lacey
9781406300406,Author,Sam McBratney
9781406300406,Illustrator,Anita Jeram
9780756686062,Author,Daniel Lipkowitz
9780723263609,Author,Eric Hill
9781406313222,Author,Martin Handford
9780786836505,Author,Mo Willems
9780007171347,Author,Judith Kerr
9780374360979,Author,Deborah Diesen
9780141338484,Author,Eric Carle
9780007549221,Author,Oliver Jeffers
9781780553078,Author,Gareth Moore
9781780553078,Illustrator,Chris Dickason
9781406344257,Author,Chris Haughton
9781409562894,Author,Heather Amery
9781409562894,Illustrator,Stephen Cartwright
9780744536348,Author,Eileen Browne
9780061172113,Author,Tana Hoban
9780140559965,Author,Graeme Base
9781575421285,Author,Elizabeth Verdick
9780142409060,Author,Judy Blume
9781844285457,Author,Mo Willems
9780140544398,Author,Lynley Dodd
9780007514274,Author,Oliver Jeffers
9781409312154,Author,Peppa Pig
9780761168812,Created by,Amy Pixton
9780761168812,Illustrator,Kate Merritt
9780763644765,Author,Leslie Patricelli
9780307120007,Author,Dorothy Kunhardt
9781406305890,Author,Martin Handford
9780859538466,Illustrated by,Annie Kubler
9780746067826,Author,Anna Claybourne
9780746067826,Illustrator,Angelo Ruta
9781409305323,Author,Ben and Holly's Little Kingdom
9781409582069,Author,Emily Bone
9781409582069,Illustrator,Benedetta Giaufret
9781409582069,Illustrator,Enrica Rusina
9780763615031,Author,Lucy Cousins
9780064434836,Author,Sheena Knowles
9780064434836,Illustrator,Rod Clement
9780689817519,Author,L. Frank Baum
9780689817519,Illustrator,Robert Sabuda
9781406315509,Author,Mo Willems
9780448444215,Author,Eric Carle
9780394800134,Author,Dr. Seuss
9780723263586,Author,Eric Hill
9781409508502,Author,Fiona Watt
9781409508502,Illustrator,Stella Baggott
9780064431439,Author,Esphyr Slobodkina
9780679809012,Author,Christopher Santoro
9781406313215,Author,Martin Handford
9780007510610,Author,Meomi
9781847385703,Author,Claire Freedman
9781847385703,Illustrator,Ben Cort
9780141354828,Author,E. B. White
9780141354828,Illustrator,Garth Williams
9781849417792,Author,Tom Fletcher
9781849417792,IllustratorAuthor,Dougie Poynter
9781849417792,Illustrator,Garry Parsons
9781409520443,Author,Anna Milbourne
9781409520443,Illustrator,Ina Hattenhauer
9781844280599,Author,Mo Willems
9780008167820,Author,Drew Daywalt
9780008167820,Illustrator,Oliver Jeffers
9780689835681,Author,"Bill Martin, Jr."
9780689835681,IllustratorAuthor,John Archambault
9780689835681,Illustrator,Lois Ehlert
9780857635655,Author,Nosy Crow
9780857635655,Illustrator,Marion Billet
9781409525486,Author,Fiona Watt
9781409525486,Illustrator,Rachel Wells
9781406322187,Author,Menena Cottin
9781406322187,Illustrator,Rosana Faria
9780007174164,Author,Michael Bond
9780007174164,Illustrator,Peggy Fortnum
9781409581543,Author,Fiona Watt
9781409581543,Illustrator,Stella Baggott
9781409599142,Author,Anna Milbourne
9781409599142,Illustrator,Simona Dimitri
9781409565178,Author,James Maclaine
9781409565178,Illustrator,Erica Harrison
9780375828379,Author,Dr. Seuss
9781409516972,Author,Various
9780763616137,Author,Lucy Cousins
9780007263851,Author,Oliver Jeffers
9781933718002,Author,Audrey Penn
9781933718002,Illustrator,Ruth Harper
9781409305088,Author,Peppa Pig
9780859536622,Illustrated by,Pam Adams
9780545855723,Author,Tui T. Sutherland
9781408326343,Author,Britta Teckentrup
9780763655983,Author,Jon Klassen
9780140568868,Author,Lynley Dodd
9780064440202,Author,Arnold Lobel
9781409565161,Author,Fiona Watt
9781409565161,Illustrator,Rachel Wells
9780762429776,Author,Running Press
9780307155108,Author,Richard Scarry
9780307155108,Illustrator,Golden Books
9780007553679,Author,Eric Litwin
9780007553679,IllustratorCreated by,James Dean
9780723263616,Author,Eric Hill
9780486400532,Author,A. G. Smith
9781442417311,Author,Sandra Boynton
9781933718101,Author,Audrey Penn
9781933718101,Illustrator,Ruth E. Harper
9781933718101,Illustrator,Nancy M. Leak
9780723264231,Author,Beatrix Potter
9780545935203,Author,"Pilkey, Dav"
9780008195809,Author,Michael Bond
9780008195809,Illustrator,R. W. Alley
9781409522935,Author,Fiona Watt
9781409522935,Illustrator,Rebecca Finn
9780061124952,Author,E B White
9780061124952,IllustratorAuthor,Kate DiCamillo
9780061124952,Illustrator,Garth Williams
9780007253463,Author,Jane O'Connor
9780007253463,Illustrator,Robin Preiss Glasser
9780375805615,Author,Jon Stone
9780375805615,Illustrator,Michael J. Smollin
9780746087541,Author,Katie Daynes
9780746087541,Illustrator,Peter Allen
9780439267618,Author,Dav Pilkey
9781452110066,Illustrated by,Molly Idle
9780141352220,Author,Eric Carle
9781409539506,Author,Rob Lloyd Jones
9781409539506,Illustrator,Stefano Tognetti
9780746062609,Author,Fiona Watt
9780746062609,Illustrator,Rachel Wells
9780694011476,Author,Eric Carle
9781409564010,Author,Anna Milbourne
9781409564010,Illustrator,Simona Dimitri
9781423133087,Author,Mo Willems
9780140569438,Author,Lynley Dodd
9780859530187,Illustrated by,Pam Adams
9781409550310,Author,Fiona Watt
9781409550310,Illustrator,Alessandra Psacharopulo
9780007347056,Author,Judith Kerr
9781423143437,Author,Mo Willems
9780679886297,Author,P.D. Eastman
9780399240461,Author,Eric Hill
9781558580091,Author,Marcus Pfister
9781406305760,Author,Anthony Browne
9780241282588,Author,Ladybird
9780241282588,IllustratorRead by,Gwyneth Herbert
9780241282588,IllustratorRead by,Harry Bird
9780312673369,Author,Nancy Tillman
9780762440627,Author,Running Press
9780723278054,Author,Lynley Dodd
9780723278054,IllustratorRead by,David Tennant
9780744531671,Author,Martin Waddell
9780744531671,Illustrator,Patrick Benson
9780316058438,Author,Richard Atwater
9780316058438,IllustratorAuthor,Florence Atwater
9780316058438,Illustrator,Robert Lawson
9781419709364,Author,Christopher Franceschelli
9781419709364,Illustrator,Peskimo
9780307105455,Author,Garth Williams
9780547366203,Author,Mem Fox
9780547366203,Illustrator,Helen Oxenbury
9781406362985,Author,Sam Mcbratney
9781406362985,Illustrator,Anita Jeram
9780140565812,Author,Allan Ahlberg
9780140565812,IllustratorAuthor,Janet Ahlberg
9780859531412,Illustrated by,Penny Ives
9780671449032,Author,Sandra Boynton
9781409582045,Author,Anna Milbourne
9781409582045,Illustrator,Olga Demidova
9781406319569,Author,Mem Fox
9781406319569,Illustrator,Helen Oxenbury
9781408309476,Author,Giles Andreae
9781408309476,Illustrator,David Wojtowycz
9781406358315,Author,Sam Winston
9781406358315,IllustratorAuthor,Oliver Jeffers
9780140501827,Author,Ezra Keats
9781409309727,Author,Peppa Pig
9781423622024,Author,Jennifer Adams
9780689716119,Author,Mem Fox
9780689716119,Illustrator,Patricia Mullins
9780062367143,Author,Erin Hunter
9781844285594,Author,Anthony Browne
9780141807157,Author,Lauren Child
9781423624776,Author,Jennifer Adams
9781423624776,IllustratorAuthor,Alison Oliver
9781409598817,Author,Katie Daynes
9781409598817,Illustrator,Christine Pym
9780007450169,Author,Jill Barklem
9780008151553,Author,Collins Easy Learning
9781854308207,Author,David Roberts
9780316789790,Author,Ed Emberley
9780316038638,Author,Grace Lin
9781509812523,Author,Julia Donaldson
9781509812523,Illustrator,Axel Scheffler
9780486438412,Author,Fran Newman D'Amico
9781405394529,Author,DK
9780307157850,Author,Richard Scarry
9780689861147,Author,Sandra Boynton
9780723248392,Author,Cicely Mary Barker
