id,guid,name_x,image,isbn,rating,review_count,book_order,min_age_x,max_age_x,price,for_age,grade_level,lexile_measure,pages,dimensions,publisher,publication_date,language,id_x,guid_x,name_y,category_order,min_age_y,max_age_y,id_y,guid_y,category_id,book_id,section_id
2092,275f37d4-c1fe-401b-88a6-3fa15c87f74a,The Pout-Pout Fish Goes to School (A Pout-Pout Fish Adventure),https://m.media-amazon.com/images/I/61PKgtPoR7L._AC_US218_..jpg,9780374360955,4.8,1858,4,0,3,,2 - 5 years,Preschool - Kindergarten,AD560L,32.0,,"Farrar, Straus and Giroux (BYR)",,English,132,8823bcbe-0d71-47e8-a32b-a85b082f3611,Pout - Pout Fish,116,0,3,1624,2a1735f0-9897-4660-91d6-575fc19f251b,132,2092,1
2094,ec35fa1c-64d9-4b0b-9943-05563b7be9d6,The Pout-Pout Fish and the Can't-Sleep Blues (A Pout-Pout Fish Adventure),https://m.media-amazon.com/images/I/51v2mEe2DML._AC_US218_..jpg,9780374304034,4.8,876,6,0,3,,2 - 3 years,Preschool - 1,AD530L,32.0,,"Farrar, Straus and Giroux (BYR)",,English,132,8823bcbe-0d71-47e8-a32b-a85b082f3611,Pout - Pout Fish,116,0,3,1626,ba72bf93-52af-406f-8a2e-ad126ec85ab8,132,2094,1
2095,4769474e-0f06-4dc6-85c3-d13a4d0efc16,"The Pout-Pout Fish, Far, Far from Home (A Pout-Pout Fish Adventure)",https://m.media-amazon.com/images/I/616KwkHicvL._AC_US218_..jpg,9780374301941,4.8,615,7,0,3,,1 - 4 years,,AD590L,32.0,,"Farrar, Straus and Giroux (BYR)",,English,132,8823bcbe-0d71-47e8-a32b-a85b082f3611,Pout - Pout Fish,116,0,3,1627,8ac366b0-d563-4d10-a900-2d2671e03b5f,132,2095,1
2098,3986ed2a-faff-4fb2-b8db-089ef9edb558,The Pout-Pout Fish Cleans Up the Ocean (A Pout-Pout Fish Adventure Book 4),https://m.media-amazon.com/images/I/51CuZ35zd6L._AC_US218_..jpg,9780374309343,4.7,466,8,0,3,,3 - 6 years,Preschool - 1,AD580L,32.0,,"Farrar, Straus and Giroux (BYR)",,English,132,8823bcbe-0d71-47e8-a32b-a85b082f3611,Pout - Pout Fish,116,0,3,1630,4e31f1f4-4d90-461c-9a65-07b97ef60346,132,2098,1
2099,0bb9cb75-1aae-4db9-9e59-ba5b99e11e90,The Pout-Pout Fish and the Worry-Worry Whale (A Pout-Pout Fish Adventure),https://m.media-amazon.com/images/I/51oGnuJiocL._AC_US218_..jpg,9780374389307,4.5,58,10,0,3,,3 - 6 years,,,36.0,,"Farrar, Straus and Giroux (BYR)",,English,132,8823bcbe-0d71-47e8-a32b-a85b082f3611,Pout - Pout Fish,116,0,3,1631,41b990a2-419d-45db-98d2-02cac298e43d,132,2099,1
2072,091359f4-4eee-4118-a94c-2ee1d2bbfcc1,If Animals Said I Love You (If Animals Kissed Good Night),https://m.media-amazon.com/images/I/51L50YnDU4L._AC_US218_..jpg,9780374306021,4.8,2819,2,0,3,,Baby - 3 years,Preschool - 2,AD630L,32.0,9.33 x 0.36 x 9.32 inches,"Farrar, Straus and Giroux (BYR)",,English,130,0638b079-d08f-4c7c-957e-ae5f1f74f0c7,If Animals Kissed Good Night,114,0,3,1604,6ee0f479-08ff-4714-b93e-192a485def44,130,2072,1
2073,2d239015-69d8-448c-b0e9-f0e730606680,If Animals Celebrated Christmas (If Animals Kissed Good Night),https://m.media-amazon.com/images/I/61f9KVRG6mL._AC_US218_..jpg,9780374309015,4.7,701,3,0,3,,2 - 6 years,Preschool - 1,,32.0,9.38 x 0.39 x 9.34 inches,"Farrar, Straus and Giroux (BYR)",,English,130,0638b079-d08f-4c7c-957e-ae5f1f74f0c7,If Animals Kissed Good Night,114,0,3,1605,67cbb646-7f21-40de-b0a0-8061b136f81b,130,2073,1
2076,1ea424ce-ff68-4b24-a985-6fcc6676a37d,If Animals Gave Thanks (If Animals Kissed Good Night),https://m.media-amazon.com/images/I/51LP1oaEMdL._AC_US218_..jpg,9780374313418,4.6,571,5,0,3,,2 - 6 years,,,32.0,9.15 x 0.4 x 9.44 inches,"Farrar, Straus and Giroux (BYR)",,English,130,0638b079-d08f-4c7c-957e-ae5f1f74f0c7,If Animals Kissed Good Night,114,0,3,1608,4e9ea5c5-b527-4139-9708-ec00f0ce0a8e,130,2076,1
2075,e44b47e5-7e56-4f65-8dd3-83f096183046,If Animals Tried to Be Kind (If Animals Kissed Good Night),https://m.media-amazon.com/images/I/51-ww8PsdoL._AC_US218_..jpg,9780374313425,4.7,53,6,0,3,,2 - 6 years,,AD680L,32.0,9.41 x 0.37 x 9.31 inches,"Farrar, Straus and Giroux (BYR)",,English,130,0638b079-d08f-4c7c-957e-ae5f1f74f0c7,If Animals Kissed Good Night,114,0,3,1607,613dbee4-d3e4-4bcd-95b8-47191a7df6e4,130,2075,1
2102,df0bee78-7068-4207-92c1-f27ac7c76b7c,Dragons Love Tacos,https://m.media-amazon.com/images/I/61NcGpkaWXL._AC_US218_..jpg,9780803736801,4.8,16543,40,1,4,,2 - 5 years,Preschool - 2,AD520L,40.0,10.44 x 0.35 x 10.31 inches,Dial Books,,English,114,97691116-0f98-4ec3-9667-9ce741e967cf,Best Seller - UK,5,0,14,1634,8b05848b-aef9-4ac3-8dfb-fbfbed10e22f,114,2102,1
2104,509599be-7106-4b2f-aa2d-44aba6073e07,Dear Santa,https://m.media-amazon.com/images/I/91o+SFXcNjL._AC_US218_..jpg,9781447261551,4.5,2596,2,1,3,10993.0,,,,,7.87 x 0.28 x 7.91 inches,Macmillan Childrens Books,,English,133,f1c52d26-6701-4ef1-b311-41e8f2220e6d,Rod Campbell,69,1,3,1636,398444c8-84d4-4718-9919-3cb40c03929e,133,2104,1
2107,271a0c38-7585-495f-a8f0-df4c2cdac09a,Noisy Farm,https://m.media-amazon.com/images/I/41BNMW1DQ8L._AC_US218_..jpg,9781447243083,4.5,1491,7,1,3,2247.99,,,,,9.45 x 0.2 x 9.45 inches,Pan MacMillan,,English,133,f1c52d26-6701-4ef1-b311-41e8f2220e6d,Rod Campbell,69,1,3,1641,ea9d2a1d-a45c-41df-8b25-db1f40552d66,133,2107,1
2125,6edd8bf0-1f1d-4ff7-aa90-1f52ffc58826,Dear Zoo Touch and Feel Book,https://m.media-amazon.com/images/I/81-dVfVT9bL._AC_US218_..jpg,9781529051803,4.5,121,26,1,3,,,,,,,,,,133,f1c52d26-6701-4ef1-b311-41e8f2220e6d,Rod Campbell,69,1,3,1660,85c070f3-fe59-4cd2-94d3-6d496496b587,133,2125,1
2126,2aec770d-daaf-4da5-8e28-ea60642be1b6,Buster's Zoo,https://m.media-amazon.com/images/I/513CEcm9jSL._AC_US218_..jpg,9780230741690,4.5,113,27,1,3,,,,,,,,,,133,f1c52d26-6701-4ef1-b311-41e8f2220e6d,Rod Campbell,69,1,3,1661,53407b40-71e5-4865-af9f-719076f76136,133,2126,1
2134,4cb70c3d-898b-4ddb-9051-ed12c318f753,There'S A House Inside My Mummy Board Book,https://m.media-amazon.com/images/I/61aVukF2LdL._AC_US218_..jpg,9781408315880,4.7,1602,2,2,6,627.0,,,,32.0,6.69 x 0.71 x 6.61 inches,Orchard,,English,122,393990c2-7ae0-490d-ac63-4d75d5a914c2,Giles Andreae,37,0,6,1672,9066e50a-ff94-4855-b3c8-3f4540e513d9,122,2134,1
